id_cliente,idade,sexo,item_comprado,categoria,valor_compra(usd),localização,tamanho_item,cor_item,temporada_compra,classificação_cliente_compra,assinatura_cliente,método_pagamento,tipo_envio_cliente,desconto_compra,código_promocional,transações_concluidas_cliente,preferência_método_pagamento,frequência_compras_cliente
1,55,Masculino,Blusa,Roupas,53,Kentucky,L,Cinza,Inverno,3.1,Sim,Cartão de Crédito,Expresso,Sim,Sim,14,Venmo,Quinzenal
2,19,Masculino,Suéter,Roupas,64,Maine,L,Marrom,Inverno,3.1,Sim,Transferência Bancária,Expresso,Sim,Sim,2,Dinheiro,Quinzenal
3,50,Masculino,Jeans,Roupas,73,Massachusetts,S,Marrom,Primavera,3.1,Sim,Dinheiro,Frete grátis,Sim,Sim,23,Cartão de Crédito,Semanalmente
4,21,Masculino,Sandálias,Calçados,90,Rhode Island,M,Marrom,Primavera,3.5,Sim,PayPal,Entrega aérea no dia seguinte,Sim,Sim,49,PayPal,Semanalmente
5,45,Masculino,Blusa,Roupas,49,Oregon,M,Turquesa,Primavera,2.7,Sim,Dinheiro,Frete grátis,Sim,Sim,31,PayPal,Anualmente
6,46,Masculino,Tênis,Calçados,20,Wyoming,M,Branco,Verão,2.9,Sim,Venmo,Padrão,Sim,Sim,14,Venmo,Semanalmente
7,63,Masculino,Camisa,Roupas,85,Montana,M,Cinza,Outono,3.2,Sim,Cartão de Débito,Frete grátis,Sim,Sim,49,Dinheiro,Trimestral
8,27,Masculino,Shorts,Roupas,34,Louisiana,L,Carvão,Inverno,3.2,Sim,Cartão de Débito,Frete grátis,Sim,Sim,19,Cartão de Crédito,Semanalmente
9,26,Masculino,Casaco,Agasalhos,97,West Virginia,L,Prata,Verão,2.6,Sim,Venmo,Expresso,Sim,Sim,8,Venmo,Anualmente
10,57,Masculino,Bolsa,Acessórios,31,Missouri,M,Rosa,Primavera,4.8,Sim,PayPal,Envio em 2 dias,Sim,Sim,4,Dinheiro,Trimestral
11,53,Masculino,Sapatos,Calçados,34,Arkansas,L,Roxo,Outono,4.1,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,26,Transferência Bancária,Bimensalmente
12,30,Masculino,Shorts,Roupas,68,Hawaii,S,Oliva,Inverno,4.9,Sim,PayPal,Retirada na loja,Sim,Sim,10,Transferência Bancária,Quinzenal
13,61,Masculino,Casaco,Agasalhos,72,Delaware,M,Ouro,Inverno,4.5,Sim,PayPal,Expresso,Sim,Sim,37,Venmo,Quinzenal
14,65,Masculino,Vestido,Roupas,51,New Hampshire,M,Violeta,Primavera,4.7,Sim,Cartão de Débito,Expresso,Sim,Sim,31,PayPal,Semanalmente
15,64,Masculino,Casaco,Agasalhos,53,New York,L,Azul-petrolio,Inverno,4.7,Sim,PayPal,Frete grátis,Sim,Sim,34,Cartão de Débito,Semanalmente
16,64,Masculino,Saia,Roupas,81,Rhode Island,M,Azul-petrolio,Inverno,2.8,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,8,PayPal,Por mês
17,25,Masculino,Oculos de sol,Acessórios,36,Alabama,S,Cinza,Primavera,4.1,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,44,Cartão de Débito,Bimensalmente
18,53,Masculino,Vestido,Roupas,38,Mississippi,XL,Lavanda,Inverno,4.7,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,36,Venmo,Trimestral
19,52,Masculino,Suéter,Roupas,48,Montana,S,Preto,Verão,4.6,Sim,Transferência Bancária,Frete grátis,Sim,Sim,17,Dinheiro,Semanalmente
20,66,Masculino,Calça,Roupas,90,Rhode Island,M,Verde,Verão,3.3,Sim,Venmo,Padrão,Sim,Sim,46,Cartão de Débito,Bimensalmente
21,21,Masculino,Calça,Roupas,51,Louisiana,M,Preto,Inverno,2.8,Sim,Cartão de Crédito,Expresso,Sim,Sim,50,Dinheiro,A cada 3 meses
22,31,Masculino,Calça,Roupas,62,North Carolina,M,Carvão,Inverno,4.1,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,22,Cartão de Débito,Trimestral
23,56,Masculino,Calça,Roupas,37,California,M,Pêssego,Verão,3.2,Sim,Dinheiro,Retirada na loja,Sim,Sim,32,Cartão de Débito,Anualmente
24,31,Masculino,Calça,Roupas,88,Oklahoma,XL,Branco,Inverno,4.4,Sim,Cartão de Crédito,Expresso,Sim,Sim,40,Cartão de Crédito,Semanalmente
25,18,Masculino,Jaqueta,Agasalhos,22,Florida,M,Verde,Outono,2.9,Sim,Dinheiro,Retirada na loja,Sim,Sim,16,Cartão de Débito,Semanalmente
26,18,Masculino,Capuz,Roupas,25,Texas,M,Prata,Verão,3.6,Sim,Transferência Bancária,Expresso,Sim,Sim,14,PayPal,Anualmente
27,38,Masculino,Joia,Acessórios,20,Nevada,M,Vermelho,Primavera,3.6,Sim,Dinheiro,Entrega aérea no dia seguinte,Sim,Sim,13,Cartão de Crédito,Anualmente
28,56,Masculino,Shorts,Roupas,56,Kentucky,L,Ciano,Verão,5.0,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,7,Transferência Bancária,A cada 3 meses
29,54,Masculino,Bolsa,Acessórios,94,North Carolina,M,Cinza,Outono,4.4,Sim,Cartão de Débito,Frete grátis,Sim,Sim,41,PayPal,A cada 3 meses
30,31,Masculino,Vestido,Roupas,48,Wyoming,S,Preto,Outono,4.1,Sim,Venmo,Retirada na loja,Sim,Sim,14,Cartão de Crédito,Semanalmente
31,57,Masculino,Joia,Acessórios,31,North Carolina,L,Preto,Inverno,4.7,Sim,Transferência Bancária,Padrão,Sim,Sim,16,Cartão de Crédito,Por mês
32,33,Masculino,Vestido,Roupas,79,West Virginia,L,Marrom,Inverno,4.7,Sim,Venmo,Retirada na loja,Sim,Sim,45,Venmo,Por mês
33,36,Masculino,Jaqueta,Agasalhos,67,Kansas,M,Prata,Verão,4.9,Sim,Transferência Bancária,Frete grátis,Sim,Sim,37,Venmo,Anualmente
34,54,Masculino,Calça,Roupas,38,Colorado,L,Verde,Verão,3.3,Sim,Venmo,Retirada na loja,Sim,Sim,45,Dinheiro,Trimestral
35,36,Masculino,Camiseta,Roupas,91,North Dakota,L,Violeta,Primavera,4.6,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,38,PayPal,Trimestral
36,54,Masculino,Blusa,Roupas,33,Massachusetts,M,Ciano,Verão,4.0,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,48,Cartão de Crédito,Bimensalmente
37,35,Masculino,Camiseta,Roupas,69,Illinois,M,Marrom,Inverno,4.6,Sim,Dinheiro,Frete grátis,Sim,Sim,44,PayPal,Quinzenal
38,35,Masculino,Jeans,Roupas,45,Indiana,S,Ciano,Verão,2.8,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,10,PayPal,Semanalmente
39,29,Masculino,Vestido,Roupas,37,Florida,M,Vermelho,Inverno,3.7,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,44,Venmo,A cada 3 meses
40,70,Masculino,Calça,Roupas,60,Arizona,S,Turquesa,Verão,4.2,Sim,Transferência Bancária,Expresso,Sim,Sim,18,Cartão de Crédito,Por mês
41,69,Masculino,Bolsa,Acessórios,76,Louisiana,L,Bege,Inverno,4.6,Sim,PayPal,Entrega aérea no dia seguinte,Sim,Sim,31,Cartão de Débito,Trimestral
42,67,Masculino,Lenço,Acessórios,39,Alaska,M,Laranja,Primavera,4.5,Sim,Dinheiro,Padrão,Sim,Sim,40,Venmo,Anualmente
43,20,Masculino,Casaco,Agasalhos,100,Tennessee,M,Bege,Primavera,4.1,Sim,Transferência Bancária,Frete grátis,Sim,Sim,15,PayPal,Anualmente
44,25,Masculino,Lenço,Acessórios,69,Ohio,L,Lavanda,Outono,3.7,Sim,PayPal,Retirada na loja,Sim,Sim,19,PayPal,Quinzenal
45,39,Masculino,Chapéu,Acessórios,53,Kentucky,S,Prata,Verão,4.6,Sim,Transferência Bancária,Frete grátis,Sim,Sim,45,PayPal,Semanalmente
