id_cliente,idade,sexo,item_comprado,categoria,valor_compra(usd),localização,tamanho_item,cor_item,temporada_compra,classificação_cliente_compra,assinatura_cliente,método_pagamento,tipo_envio_cliente,desconto_compra,código_promocional,transações_concluidas_cliente,preferência_método_pagamento,frequência_compras_cliente,codigo_regiao
1,55,Masculino,Blusa,Roupas,53,Kentucky,L,Cinza,Inverno,3.1,Sim,Cartão de Crédito,Expresso,Sim,Sim,14,Venmo,Quinzenal,KY
2,19,Masculino,Suéter,Roupas,64,Maine,L,Marrom,Inverno,3.1,Sim,Transferência Bancária,Expresso,Sim,Sim,2,Dinheiro,Quinzenal,ME
3,50,Masculino,Jeans,Roupas,73,Massachusetts,S,Marrom,Primavera,3.1,Sim,Dinheiro,Frete grátis,Sim,Sim,23,Cartão de Crédito,Semanalmente,MA
4,21,Masculino,Sandálias,Calçados,90,Rhode Island,M,Marrom,Primavera,3.5,Sim,PayPal,Entrega aérea no dia seguinte,Sim,Sim,49,PayPal,Semanalmente,RI
5,45,Masculino,Blusa,Roupas,49,Oregon,M,Turquesa,Primavera,2.7,Sim,Dinheiro,Frete grátis,Sim,Sim,31,PayPal,Anualmente,OR
6,46,Masculino,Tênis,Calçados,20,Wyoming,M,Branco,Verão,2.9,Sim,Venmo,Padrão,Sim,Sim,14,Venmo,Semanalmente,WY
7,63,Masculino,Camisa,Roupas,85,Montana,M,Cinza,Outono,3.2,Sim,Cartão de Débito,Frete grátis,Sim,Sim,49,Dinheiro,Trimestral,MT
8,27,Masculino,Shorts,Roupas,34,Louisiana,L,Carvão,Inverno,3.2,Sim,Cartão de Débito,Frete grátis,Sim,Sim,19,Cartão de Crédito,Semanalmente,LA
9,26,Masculino,Casaco,Agasalhos,97,West Virginia,L,Prata,Verão,2.6,Sim,Venmo,Expresso,Sim,Sim,8,Venmo,Anualmente,WV
10,57,Masculino,Bolsa,Acessórios,31,Missouri,M,Rosa,Primavera,4.8,Sim,PayPal,Envio em 2 dias,Sim,Sim,4,Dinheiro,Trimestral,MO
11,53,Masculino,Sapatos,Calçados,34,Arkansas,L,Roxo,Outono,4.1,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,26,Transferência Bancária,Bimensalmente,AR
12,30,Masculino,Shorts,Roupas,68,Hawaii,S,Oliva,Inverno,4.9,Sim,PayPal,Retirada na loja,Sim,Sim,10,Transferência Bancária,Quinzenal,HI
13,61,Masculino,Casaco,Agasalhos,72,Delaware,M,Ouro,Inverno,4.5,Sim,PayPal,Expresso,Sim,Sim,37,Venmo,Quinzenal,DE
14,65,Masculino,Vestido,Roupas,51,New Hampshire,M,Violeta,Primavera,4.7,Sim,Cartão de Débito,Expresso,Sim,Sim,31,PayPal,Semanalmente,NH
15,64,Masculino,Casaco,Agasalhos,53,New York,L,Azul-petrolio,Inverno,4.7,Sim,PayPal,Frete grátis,Sim,Sim,34,Cartão de Débito,Semanalmente,NY
16,64,Masculino,Saia,Roupas,81,Rhode Island,M,Azul-petrolio,Inverno,2.8,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,8,PayPal,Por mês,RI
17,25,Masculino,Oculos de sol,Acessórios,36,Alabama,S,Cinza,Primavera,4.1,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,44,Cartão de Débito,Bimensalmente,AL
18,53,Masculino,Vestido,Roupas,38,Mississippi,XL,Lavanda,Inverno,4.7,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,36,Venmo,Trimestral,MS
19,52,Masculino,Suéter,Roupas,48,Montana,S,Preto,Verão,4.6,Sim,Transferência Bancária,Frete grátis,Sim,Sim,17,Dinheiro,Semanalmente,MT
